sale_date,make,model,series,badge,body_type,transmission,fuel_type,year,km,sale_price,buy_price,location
2025-12-15,Toyota,Hilux,SR5,Double Cab,Ute,Automatic,Diesel,2021,45000,52000,45000,Sydney
2025-12-10,Ford,Ranger,Wildtrak,Bi-Turbo,Ute,Automatic,Diesel,2022,32000,58000,51000,Melbourne
2025-12-08,Mazda,CX-5,Touring,Active,SUV,Automatic,Petrol,2020,61000,38000,32000,Brisbane
2025-12-05,Volkswagen,Amarok,Highline,TDI580,Ute,Automatic,Diesel,2021,55000,48000,44000,Perth
2025-11-28,Toyota,Landcruiser,Sahara,V8,Wagon,Automatic,Diesel,2019,78000,95000,82000,Sydney
2025-11-25,Nissan,Navara,ST-X,Dual Cab,Ute,Automatic,Diesel,2022,28000,42000,38500,Adelaide
2025-11-20,Mitsubishi,Triton,GLX-R,Club Cab,Ute,Automatic,Diesel,2021,52000,35000,38000,Melbourne
2025-11-15,Isuzu,D-Max,LS-U,Crew Cab,Ute,Automatic,Diesel,2020,68000,41000,36000,Brisbane
2025-11-10,Hyundai,Tucson,Highlander,N Line,SUV,Automatic,Petrol,2022,25000,44000,39000,Sydney
2025-11-05,Kia,Sportage,GT-Line,Premium,SUV,Automatic,Petrol,2021,38000,39000,33000,Perth
